event_index,n_gen_triplet,leading_truth_triplet_slot,leading_truth_triplet_mass
673,1,0,174.474061
674,0,,
675,1,1,163.044912
676,0,,
677,0,,
678,0,,
679,0,,
680,0,,
681,0,,
682,0,,
683,0,,
684,1,1,150.020457
685,1,1,173.093803
686,1,1,312.379755
687,2,0,138.259601
688,1,1,158.511976
689,1,1,174.472937
690,1,1,170.099158
691,0,,
692,0,,
693,0,,
694,1,1,182.842377
695,0,,
696,0,,
697,1,0,176.134715
698,1,1,168.271873
699,1,0,147.182616
700,0,,
701,0,,
702,0,,
703,0,,
704,1,0,154.516129
705,0,,
706,0,,
707,1,0,177.677703
708,0,,
709,2,1,164.924316
710,0,,
711,1,1,171.628832
712,0,,
713,0,,
714,2,0,172.747418
715,0,,
716,0,,
717,0,,
718,0,,
719,0,,
720,1,1,182.912901
721,0,,
722,1,1,162.029652
723,1,1,155.525459
724,1,0,148.676757
725,1,0,150.593752
726,2,1,149.450708
727,0,,
728,0,,
729,0,,
730,0,,
731,1,0,139.254513
732,0,,
733,0,,
734,0,,
735,1,1,151.319094
736,0,,
737,0,,
738,0,,
739,1,1,161.3984
740,0,,
741,0,,
742,1,0,160.019711
743,0,,
744,1,0,177.7428
745,1,1,146.656771
746,0,,
747,0,,
748,1,0,163.978388
749,0,,
750,2,0,158.676669
751,1,0,190.948087
752,0,,
753,1,1,138.090794
754,1,0,157.134554
755,0,,
756,0,,
757,0,,
758,1,1,170.632401
759,0,,
760,0,,
761,1,1,312.680704
762,0,,
763,0,,
764,0,,
765,1,0,192.2728
766,1,1,518.12217
767,1,0,170.831187
768,0,,
769,0,,
770,0,,
771,0,,
772,0,,
773,1,1,179.265196
774,1,1,163.305466
775,1,1,337.807159
776,0,,
777,1,1,128.219144
778,1,0,250.673081
779,0,,
780,1,0,141.874234
781,0,,
782,1,1,157.284953
783,0,,
784,1,1,169.630683
785,0,,
786,0,,
787,0,,
788,0,,
789,1,1,173.910119
790,0,,
791,0,,
792,1,1,167.739507
793,1,0,156.984804
794,1,1,239.633913
795,0,,
796,0,,
797,0,,
798,1,1,165.694961
799,1,0,170.27338
800,0,,
801,0,,
802,0,,
803,1,1,173.920081
804,1,0,200.97314
805,0,,
806,0,,
807,0,,
808,0,,
809,0,,
810,0,,
811,0,,
812,0,,
813,1,1,146.676692
814,1,0,161.079574
815,1,0,169.41095
816,0,,
817,1,1,157.26534
818,0,,
819,1,1,199.026932
820,0,,
821,0,,
822,0,,
823,0,,
824,0,,
825,1,1,154.854652
826,0,,
827,0,,
828,2,1,160.47316
829,1,0,181.444328
830,0,,
831,0,,
832,2,0,177.764671
833,2,1,235.205256
834,0,,
835,1,0,154.512887
836,1,0,142.492462
837,1,0,154.480848
838,2,0,151.919135
839,0,,
840,0,,
841,0,,
842,1,0,174.83127
843,1,1,115.441617
844,0,,
845,1,0,166.180449
846,1,1,152.056429
847,1,1,171.917571
848,1,1,168.385169
849,0,,
850,0,,
851,0,,
852,1,0,143.262061
853,0,,
854,0,,
855,0,,
856,1,0,124.944723
857,0,,
858,0,,
859,1,0,142.152703
860,0,,
861,0,,
862,0,,
863,2,0,131.141596
864,1,0,188.65906
865,2,1,159.42758
866,1,1,140.788228
867,0,,
868,0,,
869,0,,
870,0,,
871,1,0,293.855896
872,1,1,161.542056
873,0,,
874,1,1,162.817452
875,1,0,152.175052
876,0,,
877,0,,
878,0,,
879,0,,
880,0,,
881,0,,
882,1,1,152.529664
883,1,1,167.453072
884,1,1,169.748264
885,0,,
886,0,,
887,1,0,219.722346
888,1,1,189.605159
889,0,,
890,1,0,159.209881
891,2,0,159.186213
892,0,,
893,0,,
894,1,1,144.016482
895,1,1,168.635751
896,1,0,151.772113
897,0,,
898,1,0,179.02923
899,0,,
900,2,0,164.121072
901,2,0,174.627828
902,0,,
903,1,1,179.681749
904,1,1,154.097287
905,0,,
906,0,,
907,1,0,169.635797
908,1,0,167.106785
909,1,0,154.475837
910,0,,
911,1,0,186.301786
912,1,1,162.920818
913,1,0,143.128673
914,2,1,182.531215
915,0,,
916,1,1,169.164821
917,0,,
918,1,0,138.97633
919,0,,
920,1,1,224.542283
921,0,,
922,0,,
923,0,,
924,1,0,144.751275
925,2,1,179.85218
926,1,1,114.382258
927,0,,
928,0,,
929,1,0,314.871776
930,1,1,176.788186
931,1,1,130.118998
932,0,,
933,0,,
934,1,1,152.548356
935,1,1,154.317909
936,1,0,143.970836
937,1,0,176.263642
938,1,0,167.411514
939,1,1,187.927599
940,1,0,291.117558
941,1,0,153.609012
942,1,0,174.45561
943,0,,
944,1,1,164.913022
945,0,,
946,0,,
947,1,0,247.698348
948,0,,
949,0,,
950,0,,
951,1,0,139.291436
952,0,,
953,1,1,141.973091
954,1,0,155.165841
955,1,1,150.249755
956,0,,
957,2,1,173.86365
958,1,1,221.524993
959,0,,
960,1,0,171.459999
961,1,0,154.280756
962,0,,
963,0,,
964,1,1,158.948523
965,0,,
966,1,0,170.38144
967,1,0,176.491003
968,0,,
969,0,,
970,0,,
971,1,0,167.11915
972,1,0,149.701011
973,1,0,169.938374
974,1,1,157.964297
975,0,,
976,0,,
977,1,1,146.906453
978,0,,
979,1,1,174.529252
980,1,1,148.098652
981,0,,
982,0,,
983,0,,
984,0,,
985,1,0,135.391196
986,1,0,155.978273
987,1,0,169.79013
988,0,,
989,1,0,169.882452
990,0,,
991,2,1,166.491922
992,1,1,131.80344
993,0,,
994,0,,
995,0,,
996,1,0,147.522613
997,1,0,231.221127
998,0,,
999,0,,
1000,0,,
1001,1,1,114.259133
1002,0,,
1003,1,1,156.367026
1004,0,,
