event_index,n_gen_triplet,leading_truth_triplet_slot,leading_truth_triplet_pt,triplet_jet_0_index,triplet_jet_0_pt,triplet_jet_0_eta,triplet_jet_0_phi,triplet_jet_0_m,triplet_jet_0_px,triplet_jet_0_py,triplet_jet_0_pz,triplet_jet_0_E,triplet_jet_1_index,triplet_jet_1_pt,triplet_jet_1_eta,triplet_jet_1_phi,triplet_jet_1_m,triplet_jet_1_px,triplet_jet_1_py,triplet_jet_1_pz,triplet_jet_1_E,triplet_jet_2_index,triplet_jet_2_pt,triplet_jet_2_eta,triplet_jet_2_phi,triplet_jet_2_m,triplet_jet_2_px,triplet_jet_2_py,triplet_jet_2_pz,triplet_jet_2_E
45,1,0,334.295635,4,31.2825947,-0.801714003,-1.92565989,6.62004662,-10.8695266,-29.3334983,-27.8540115,42.4060338,0,205.501999,-0.406597108,-0.152291983,23.4757805,203.123513,-31.1754721,-85.8779016,223.958027,1,133.645279,-0.69605428,-0.454701662,7.75044823,120.065862,-58.6962459,-100.720034,167.528073
46,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,1,1,226.295784,0,134.382736,0.254508227,2.27373362,15.9345884,-86.8732609,102.526857,34.5719402,139.670505,3,51.2208595,-0.391189754,2.34673285,7.28909254,-35.8743137,36.5596782,-20.5520436,55.6695053,1,66.8618469,0.545732975,-2.93858266,6.89603376,-65.4887818,-13.48058,38.3270832,77.3758823
50,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,1,1,47.6298892,1,59.1043129,-0.0782633126,2.72834969,9.57952785,-54.1291084,23.7351939,-4.63042294,60.0543751,3,46.3160629,-0.0352934748,0.105899222,8.76523781,46.0565964,4.89567251,-1.63499418,47.1665166,0,76.8392334,-0.395523876,-1.44540346,10.2431183,9.6098625,-76.2359386,-31.1903826,83.5585377
52,1,1,539.277349,0,431.84433,-0.134608731,-3.00902152,31.6094894,-428.05503,-57.0825433,-58.3057241,436.90759,3,75.5751114,-0.697611928,-2.87564278,6.05716801,-72.9181387,-19.8630943,-57.1036796,94.9163683,4,36.0870552,0.57981801,2.82449627,5.61078596,-34.2879277,11.2522694,22.116189,42.6952256
53,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,1,1,148.080994,1,57.046936,1.17182064,0.299441427,10.3712425,54.5084278,16.828078,83.2332391,101.438098,3,52.7995796,0.454620332,-0.516102076,12.5059252,45.9224018,-26.0562587,24.8391974,59.675619,2,52.8118553,-0.482159734,-0.66180712,8.30680466,41.6623731,-32.4551803,-26.4619092,59.6517201
59,1,1,175.95218,5,34.5331726,-0.222538203,1.99043167,10.9959879,-14.0697628,31.5369908,-7.74853805,37.0606476,1,99.320549,0.129700556,-2.71610641,20.8903446,-90.464944,-40.9959188,12.918078,102.312534,2,71.331192,0.927575469,-2.92464399,10.299468,-69.6591031,-15.3540974,76.0697283,104.789415
60,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,1,0,47.3731508,0,65.8072205,-1.59715497,1.86418879,6.82847404,-19.031539,62.9951648,-155.847595,169.309454,1,29.4394188,0.30479005,-2.78730989,8.64386368,-27.6110999,-10.2130574,9.11241361,32.0067468,2,26.2139969,-1.5866617,-1.24494624,5.19570446,8.39147407,-24.8345887,-61.3774327,66.9429475
63,1,1,196.927006,2,70.9809189,-0.886593223,1.72724259,10.1085129,-11.0594561,70.1140448,-71.5058466,101.259859,3,31.3661251,0.324501991,1.09937096,3.49546599,14.245134,27.9447663,10.3579459,33.2165491,0,119.582695,0.353703827,2.42361593,5.55228853,-90.0623086,78.6689361,43.1843246,127.262464
64,1,1,49.829193,3,36.1139946,-0.0955109596,0.568503916,8.33434772,30.4335293,19.4427596,-3.45452893,37.2238597,4,29.8853607,1.12287283,-1.94114041,3.86199737,-10.8165942,-27.8592188,41.0673849,50.9370191,1,66.3633728,-0.199579164,-2.97136068,7.98012829,-65.4041231,-11.2426834,-13.3328489,68.1582318
65,1,0,169.531672,3,39.449852,-0.0613828227,0.574308276,7.15336227,33.1208446,21.4312967,-2.42306423,40.1663124,1,93.0375595,0.0704032183,2.21309066,6.75020218,-55.7326746,74.4973588,6.55555604,93.5121812,2,77.6792984,0.201254204,1.24479115,9.53844643,24.8776638,73.5878743,15.7390324,79.8296468
66,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,1,1,234.956775,0,129.835922,-0.961532474,0.765954018,24.5050182,93.5755194,90.0054935,-144.987472,196.161234,1,111.251678,-0.488082558,0.426599741,14.1563702,101.281076,46.0334614,-56.4817624,125.568819,5,34.181694,-1.202806,-1.11203432,5.70939255,15.1369687,-30.6473553,-51.7698162,62.298469
70,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,1,0,206.69285,2,93.1781693,0.259709477,1.26895308,11.3697023,27.7000639,88.9655983,24.4722085,97.0068572,1,126.469604,-0.123357557,2.46771073,7.44085026,-98.824,78.9200727,-15.6405784,127.650127,4,27.0760479,-1.07095015,1.48863626,7.72365093,2.22206813,26.9847139,-34.8667489,44.8158156
73,1,0,139.750994,1,88.6189575,-0.97547549,2.9427402,8.74429512,-86.8726248,17.50619,-100.822456,134.517471,2,84.4466019,-0.253852278,1.24466574,16.8831482,27.0550007,79.9953468,-21.6679417,88.8018522,3,27.1154594,-1.13983428,2.5224514,3.98912621,-22.0822097,15.7360781,-38.0481175,46.8915826
