event_index,n_gen_triplet,leading_truth_triplet_slot,m_jet1jet2,m_jet2jet3
459,1,1,109.141784,92.2228089
460,1,0,123.764402,89.8402585
461,1,1,78.3668268,80.6442736
462,0,,,
463,1,1,93.8404799,117.02277
464,0,,,
465,1,1,73.6880531,74.0127593
466,2,0,105.597732,75.231468
467,0,,,
468,1,0,51.8333886,81.505523
469,0,,,
470,1,0,131.238291,117.086107
471,0,,,
472,0,,,
473,0,,,
474,0,,,
475,0,,,
476,1,0,175.891442,89.1965873
477,1,0,119.679726,76.4747798
478,1,0,115.404089,71.2787273
479,1,0,90.1634078,63.106222
480,0,,,
481,0,,,
482,0,,,
483,0,,,
484,1,1,93.6980602,67.8400157
485,0,,,
486,0,,,
487,0,,,
488,0,,,
489,1,0,108.165937,81.3288684
490,0,,,
491,1,0,53.7161032,73.0968459
492,0,,,
493,0,,,
494,0,,,
495,0,,,
496,1,0,132.407135,77.8877086
497,0,,,
498,0,,,
499,0,,,
500,1,0,81.7335427,78.3468107
501,0,,,
502,1,1,66.4698279,113.459331
503,0,,,
504,1,0,198.774232,73.7758632
505,0,,,
506,0,,,
507,0,,,
508,0,,,
509,0,,,
510,1,0,77.4620424,72.281963
511,0,,,
512,1,1,117.555768,82.1657323
513,0,,,
514,2,1,91.2890811,70.9072204
515,0,,,
516,0,,,
517,0,,,
518,0,,,
519,0,,,
520,1,1,86.39573,86.4196804
521,1,1,91.6616151,81.7782101
522,0,,,
523,0,,,
524,0,,,
525,0,,,
526,1,1,107.869083,58.9079519
527,0,,,
528,0,,,
529,0,,,
530,0,,,
531,0,,,
532,0,,,
533,1,1,139.937462,73.0318154
534,0,,,
535,1,1,102.282769,110.000476
536,0,,,
537,0,,,
538,1,0,103.050218,82.1209591
539,1,1,60.9250274,67.5867572
540,1,1,140.907722,67.4751958
541,0,,,
542,0,,,
543,1,0,117.493623,48.5102896
544,1,1,159.040865,96.8068673
545,0,,,
546,1,1,97.421994,115.301987
547,1,1,94.6290632,68.9747435
548,1,0,146.139548,61.0595676
549,1,0,183.486082,136.619478
550,0,,,
551,0,,,
552,0,,,
553,1,1,106.073456,70.8946344
554,0,,,
555,0,,,
556,1,1,111.462662,89.6621172
557,1,1,127.489321,54.93377
558,1,1,89.2872518,75.847575
559,1,1,112.151019,105.162882
560,0,,,
561,0,,,
562,1,0,118.638982,70.8992992
563,0,,,
564,0,,,
565,0,,,
566,2,1,102.341677,68.0103612
567,1,1,83.6741478,80.8892529
568,1,0,98.0864518,106.384834
569,0,,,
570,1,1,146.517863,29.9076815
571,0,,,
572,1,1,137.285522,94.3312923
573,0,,,
574,0,,,
575,1,0,119.639933,67.9699457
576,1,1,63.4232753,54.1971737
577,0,,,
578,0,,,
579,0,,,
580,1,0,115.534315,68.2120262
581,1,0,116.907703,90.7247667
582,0,,,
583,0,,,
584,0,,,
