particle1_pt,particle1_eta,particle1_phi,particle2_pt,particle2_eta,particle2_phi,particle3_pt,particle3_eta,particle3_phi
,,,,,,,,
,,,,,,,,
116.959732,-2.37257433,1.55372441,39.3034439,-2.32670665,-1.43797624,34.6948624,-1.84373605,0.614859462
61.211338,-0.751952171,-0.699939132,162.730774,-0.183759272,-1.68245161,49.539505,0.205427378,-2.45415568
,,,,,,,,
,,,,,,,,
111.689102,0.212036654,-2.55752659,35.0995445,-0.719658494,-1.8280493,49.0483818,-0.0985334739,2.21952391
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
47.7903404,-0.855706275,-0.765200675,46.9488907,0.843244016,2.26677513,46.5889397,1.05651796,0.34244749
92.1592484,-1.62026846,-1.38891459,57.8692055,-1.23997259,-2.04758477,40.1179657,-0.070225291,-3.0673306
41.2604141,0.741682172,1.54967463,87.3918915,0.427101642,-3.03286004,43.5408669,1.45195031,-2.563766
46.2009773,-0.605095088,1.86755478,63.1962547,0.143216327,-1.12329495,46.4431763,-0.366282552,-2.27745485
,,,,,,,,
,,,,,,,,
84.2284851,-1.2963469,2.15455961,58.9566422,-1.31119752,-0.0520917773,97.2178345,-0.714782536,-2.48362255
,,,,,,,,
,,,,,,,,
,,,,,,,,
48.9775085,1.00873077,-0.344458252,40.7090721,1.89299679,-1.2900672,141.271942,1.45771015,-2.32465744
,,,,,,,,
,,,,,,,,
103.402336,-1.53313804,0.927312851,51.9834099,-2.017766,3.12268186,31.9974613,-1.31841099,-0.253652811
,,,,,,,,
70.1680069,1.95083654,-0.434188485,39.9866982,0.802792132,2.34851146,47.8886299,0.774688661,-1.68170905
,,,,,,,,
74.6939087,0.248011097,2.50374031,26.1972446,0.728781521,-0.362773299,61.8297195,-1.23098993,-0.118954547
47.3854485,-0.440644532,-0.862461925,70.8703003,1.00813305,0.770938218,106.630196,0.238842145,0.263479918
46.6185493,-1.45319748,-2.25374722,34.2170563,-1.63995683,-1.11935544,56.628418,-0.12428125,-1.02944124
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
32.8807564,0.307247609,-2.57323098,151.998581,0.117880434,0.596426427,29.9155693,0.493114918,-0.328489423
,,,,,,,,
,,,,,,,,
28.1751175,-2.43609619,0.729912579,59.7817497,-1.27695239,2.96740031,80.592659,-1.08156574,1.72311532
99.286171,1.62366712,1.83733892,39.9729881,0.860644102,-0.0470743664,119.1036,2.00403214,0.0829164013
,,,,,,,,
36.7880592,0.0180117041,1.86084807,55.210556,1.95248115,1.74858809,49.0258102,2.40333796,-0.890075564
,,,,,,,,
92.2556915,0.433861852,-2.53875971,37.0883713,1.62169099,0.312022507,35.5716629,1.21517193,-2.58122706
,,,,,,,,
,,,,,,,,
64.9875107,1.71023548,2.68775988,105.185654,1.18886447,-2.42933202,36.0208778,1.20080709,-1.16507566
